char_len,latency_ms
6,2111.1
13,2782.9
6,1845.6
19,54.0
82,5727.7
91,1766.9
33,2815.0
82,1412.1
58,4279.4
50,1177.3
61,5057.8
48,3725.6
6,1392.0
42,896.2
92,6297.7
33,3604.7
8,557.0
50,2590.5
32,2367.4
10,2384.6
6,1682.5
5,1749.0
18,2018.1
19,69.7
70,5299.6
125,7551.7
73,1740.7
67,4234.6
42,1289.0
54,4886.9
118,8239.4
21,2459.7
11,929.6
8,161.4
32,5477.6
37,1407.9
12,2267.1
27,4028.2
25,891.9
32,5400.6
22,3424.5
18,2211.7
27,1993.6
18,2352.6
10,2068.3
39,1352.5
17,3072.0
60,1971.0
11,2601.6
40,2420.0
29,4559.8
37,1644.3
16,766.7
13,2227.0
9,835.7
14,1081.6
24,2432.3
18,1895.1
10,163.6
38,1500.4
11,3183.5
66,2390.0
11,3387.8
26,1570.3
17,2745.9
41,1735.3
20,1247.7
7,2334.5
45,628.6
21,1684.9
21,1353.1
9,2350.0
18,2040.1
2,1473.1
6,1633.8
18,2639.7
6,1699.6
6,1954.8
30,2946.8
37,2930.7
18,951.5
20,2426.4
54,5365.5
57,3900.5
54,4480.5
6,2271.1
28,2294.5
12,273.3
28,3198.6
18,1880.3
6,1580.5
9,1622.8
20,735.1
11,2167.0
13,716.2
21,3076.5
39,2658.4
18,2228.6
20,3337.8
25,2312.7
10,3136.7
23,1044.1
12,688.2
25,2028.2
18,2192.1
24,1149.3
16,2085.5
7,1575.2
14,2246.7
15,2276.2
9,2117.3
15,843.7
24,803.3
14,532.4
16,2459.9
38,940.9
25,1615.3
19,1730.4
16,167.6
27,212.6
22,1135.3
16,2300.9
40,2641.3
17,167.9
23,1030.8
13,703.6
25,796.1
21,712.4
40,1788.1
16,312.4
14,3022.1
6,1503.3
6,1521.8
11,1912.7
13,441.0
52,882.8
22,668.8
27,2396.1
47,3318.5
38,1048.8
29,796.7
36,670.3
36,3464.1
29,2348.6
67,1326.0
61,4654.0
27,541.8
35,2335.6
58,4523.2
21,2783.6
74,2196.0
13,436.8
68,1378.8
28,3134.1
125,10503.4
25,775.3
42,1323.1
48,807.4
44,821.7
13,2177.8
73,1836.6
42,2389.0
6,1619.5
26,658.9
38,2550.8
38,946.9
49,1029.3
44,980.3
18,572.1
30,2485.5
59,1004.4
57,4450.8
19,976.8
96,5981.2
15,2188.4
6,1584.4
21,2177.7
44,1052.6
71,1480.1
39,3065.5
6,1668.8
17,1979.6
6,1876.0
6,2104.0
47,3889.7
17,2514.9
48,3476.3
30,446.8
24,784.1
63,4870.9
44,985.8
34,3545.7
4,1635.9
31,2516.3
